	pl	csb
12007	Konfiguruj interfejs...	Kònfigùrëjë widżetë...
12008	Nieprzydzielone	Jinszé
12009	Narzędzie schowkaComment	Nôrzãdze tacnikaComment
12010	Intensywność znaku wodnego	Intensywnota wòdnégò merkù
12011	Skontaktuj się z obsługą komputera, administratorem systemu lub pomocą techniczną.	Sparłãczë sã z òbsłëgą kòmpùtra, sprôwnikã systemë abò techniczną pòmòcą.
12012	"Nie można otworzyć ""% 1"""	Ni mòże òtemknąc lopka skriptu:% 1
12013	Spis treści rozdziału% 1:% 2	Spisënk zamkłoscë dzélów% 1:% 2
12014	Zmienia kolory	Dopasëjë farwë
12015	Nie zgłaszaj uaktualnienia programom	Nie zgłaszôj aktualizacëji programów
12016	Pobieranie albumu z Magnatune. com	Kùpi albùm w Magnatune. com
12017	Peso urugwajskieName	Urugwajsczé PesoName
12018	Pokaż użytkownika wybranego z poniższej listy. Warto użyć tej opcji, jeśli komputer jest zazwyczaj używany przez tego samego użytkownika.	Wëbierzë brëkòwnika w òknie z prawi. Mô to cwëk, jeżlë kòmpùtr je ùżëwóny przez jedengò człowieka.
12019	Pobieranie danych z% 1 nie jest obsługiwane.	Ladowanié pòdôwków z% 1 nie je òbsłëgiwóne.
12020	Sprawdzanie pisowni@ title: tab	@ title: tab
12021	Ostrzeżenie - nowa sesja	Òstrzéga - Nowô sesja
12022	Jukon	& Yukon
12023	Grupa 1	Grëpòwô kastka 1
12024	Ręczne podawanie papieru z tyłu	Rãczné pòdawanié papióru òd slôdë
12025	Konfiguracja sposobu wyświetlania stron WWWName	Kònfigùracëjô wëskrzënianiô internetowich starnówName
12026	XDMCP: nie można odczytać nagłówka XDMCP.	XDMCP: ni mòże czëtac nôdgłówka XDMCP!
12027	ZdjęciaName	ÒdjimcziName
12028	Wiele pulpitów Moduł pozwala na konfigurację liczby wirtualnych pulpitów i zmianę ich nazw.	Wiele pùltów W tim mòdule mòżesz skònfigùrowac kùli pùltów chcesz ë jaczé mają miec miona.
12029	Zawsze pod & spodem	Wiedno w & spòdkù
12030	Nie można odczytać pliku.	Ni mòże czëtac z lopkù. Òprzestanie.
12031	Znajdź w źródle	Rozszérzenié lopkù zdroju
12032	Pozycja ukryta	Zatacony wpisënk
12033	Postęp:% 1%	Pòkrok:% 1%
12034	& Odśwież widok	Òdswierzë pòdzérk
12035	Znajomi	Drësze
12036	Wielkość czcionki	Miara fònta
12037	Bezpośrednie odnośnikiQShortcut	QShortcut
12038	Konfiguracja dla	Kònfigùracëjô
12039	Alfabetyczne formy prezentacyjne	Fòrmë alfabeticzny prezentacëji
12040	Użyj tytułu okna	Brëkùjë titla òkna
12041	Okno ostrzeżenia z klawiszami Tak/ Nie	Òkno òstrzédżi z knąpama Jo/ Nié
12042	Podajnik 2	Pòdajnik 2
12043	Nie obsługiwany schemat:% 1	Niewspierónô schéma:% 1
12044	Dodatkowe operatory matematyczne	Dodôwné matematiczné òperatorë
12045	Zarządzanie siecią przy użyciu usługi zarządzaniaName	Sprôwianié sécë ùżëwające ùsłëżnotã menadżera sécëName
12046	Dużyview-size	view-size
12047	Pomocniczy prawy	Prawi- Aux
12048	Włącz tę opcję, by odwrócić sens użycia listy wyjątków. Po włączeniu opcji serwery pośredniczące będą używane tylko wtedy, gdy żądany adres pasuje do jednego z adresów na liście. Takie zachowanie jest przydatne, jeśli chce się użyć serwera pośredniczącego tylko dla kilku witryn. W bardziej złożonych przypadkach lepiej użyć skryptu konfigurującego	Włączë tã òptacëjã, bë òdwarcëc sens ùżëcô lëstë wëjimków. Pò włączeniu òptacëji pòstrzédniczące serwerë bãdą brëkòwóné blós tédë, jak żądónô adresa pasëje do jedny z adresów na lësce. Taczé ùchòwanié je przëdatne, jeżlë chce sã ùżëc pòstrzédniczącegò serwera blós dlô czile witrinów. W barżi złożonëch przëtrôfkach lepi je ùżëc kònfigùracjowégò skriptu
12049	W celu znalezienia typu MIME użyj tylko zawartości pliku.	Brëkùjë blós ti zamkłoscë lopka dlô òcéchòwaniô ôrtu MIME.
12050	Format MS MediaComment	Fòrmat MS MediaComment
12051	Pobieranie okładki dla% 1 -% 2...	Ladowanié òbkłôdczi dlô% 1 -% 2...
12052	Gra planszowa KDE pięć w rzędzie	Planszowô gra KDE piãc w réze
12053	Pokaż & tło katalogów	Wëskrzëni spòdlé kataloga
12054	Strumienie% 1	Strëdżi brekòwnika% 1
12055	"Nie można otworzyć skryptu ""% 1"""	"Ni mòże òtemknąc lopka skripta ""% 1"""
12056	_Usuń pliki...	_Wëbróné lopczi
12057	Przenieś	1 zrëch
12058	Pasywna zmiana kursora	Pasywnô zmiana kùrsora
12059	Zapisz ustawienie.	Zapiszë ùstawë.
12060	Zakres	Òbrëmienié
12061	Wstawiany tekst:	Wsadzôny & tekst:
12062	Zarządzanie profilami	Sprôwianié profilama
12063	Kolorowy, zwykła jakość (4 tusze)	Farwny, zwëkłi kwalitet (4 tintë)
12064	Wydruk próbny	Próbny wëdrëk
12065	Symbol, inny	Symbòl, jinszé
12066	Różne symbole matematyczne A	Wszelejaczé matematiczné symbòle A
12067	Następny w historii	Pòstãpny w historëji
12068	Próba zalogowania, by wykonać żądaną operację, nie powiodła się.	Próba wlogòwaniô, bë wëkònac żądaną òperacëjã, nie darzëła sã.
12069	Komunikat z ostrzeżeniemComment	Wiadło òstrzedżiComment
12070	Automatycznie wykryj i skonfiguruj ustawienia pośrednika. Automatyczne wykrywanie jest wykonywane przy pomocy protokołu Web Proxy Auto- Discovery (WPAD). Uwaga: Ta opcja może nie działać poprawnie w niektórych dystrybucjach Linuksa/ Uniksa. W razie problemów proszę sprawdzić rozdział FAQ na stronie http: // konqueror. kde. org.	Wëkrëjë ë skònfigùrëjë aùtomatno pòstrzédnika. Aùtomatné wëkrëwanié przeprowôdzóné je z pòmòcą protokòlu Web Proxy Auto- Discovery (WPAD). BÔCZËNK: Ta optacëjô mòże nie robic pòprôwno w niejednëch Linuksowich/ Uniksowich distribùcëjach. W przëtrôfkù problemów proszã sprôwdzëc dzél FAQ na starnie http: // konqueror. kde. org.
12071	Wygaszacz ekranu KDEName	Wëgaszôcz ekranu KDEName
12072	Geolokalizacja: GPSComment	Geògrafnô lokalizacëjô GPSComment
12073	Informacja o bezpieczeństwie	Wëdowiédzô ò bezpiekù
12074	Nieznany tytuł	Bez titla
12075	Usługa NepomukName	Ùsłëżnota NepomukName
12076	Logowanie przez SASL (% 1) nie powiodło się. Serwer nie obsługuje% 2 albo podano błędne hasło.% 3	Logòwanié bez SASL (% 1) nie darzëło sã. Serwera mòże nie òbsłëgiwac% 2, abò pòdónô je zmiłkòwô parola.% 3
12077	"Tutaj możesz ustawić zestaw cyfr używany do wyświetlania kwot. Jeżeli wybrano zestaw inny niż cyfry arabskie, będzie on stosowany tylko w programach w danym języku i w polach tekstowych wyświetlających liczby. Uwaga: zestaw cyfr do wyświetlania liczb należy zdefiniować oddzielnie karcie ""Liczby."""	"Tuwò mòżesz ùstawic cyfrë brëkòwóné do wëskrzëniwaniô sëmów dëtków. Jeżlë ùżëté są jine cyfrë nigle arabsczé, pòkażą sã òne jeżlë ùżëté bãdą w aplikacëji abò w dzélu tekstu dze na lëczba mô sã wëskrzënionô. Bôczë, że ùstawë cyfrów dlô jinëch lëczbów je ùstôwióny na kôrce ""Lëczbë."""
12078	Dodatkowa jednostka dupleksowa	Dodôwnô dupleksowô jednota
12079	Konfiguruj układy listy odtwarzania...	Kònfigùrëjë wëzdrzatczi lëstë graniô...
12080	Średnie (% 1x% 2)	Strzédné (% 1x% 2)
12081	Ignoruj rozszerzone PSD (położone w katalogu '/ EXT/ PSD_ X. VCD 'używające kodowania ISO- 9660) i zastosuj standardowe PSD.	Ignorëjë rozszérzenié PSD (nachôdôjącé sã w systemie lopków ISO- 9660 pòd '/ EXT/ PSD_ X. VCD ') ë brëkùjë sztandardowé PSD.
12082	Słowa tekstu źródłowego:% 1 Słowa tekstu docelowego:% 2@ title	@ title
12083	Powtórz	Pòwtórzë
12084	Podgląd pulpitów	Przestôwnik
12085	"Proszę podać nazwę zmiennej środowiskowej (np. HTTPS_ PROXY) używanej do przechowania adresu serwera pośredniczącego HTTPS. Można też kliknąć na przycisk ""Autodetekcja,"" by automatycznie wykryć tę zmienną."	"Proszã wpisac miono zmienny òkrãżô (np. HTTPS_ PROXY) brëkòwóny do trzëmaniô pòstrzédniczącegò serwera HTTPS. Mòże téż klëknąc na knąpã ""Aùtomatné rozpòznanié,"" bë aùtomatno wëkrëc tã zmienna."
12086	Heksagramy Yijing	Heksagramòwé symbòlë Yijing
12087	Modularny syntetyzatorName	Mòdułowô syntezatoraName
12088	Nie wybrano sesji	Nie wëbrano sesëji
12089	Zużycie akumulatora	Zbrëkòwanié baterëji
12090	Ustawienia efektów zablokowanych ikon	Ùstawi wëłączony efekt ikònë
12091	& Porzuć	& Niechôj
12092	Uruchom komputer ponownie	Zrëszë kòmpùtr znowa
12093	Czirokeski	Cherokee
12094	Następne zadanie wymaga tuszu specjalnego	Pòstãpnô robòta wëmôgô specjalny tińtë
12095	Zrównoważone listy odtwarzania	& Zapiszë lëstã graniô
12096	Tutaj wpisz szukane słowo	Wpiszë tuwò słowò do zdefioniwaniô
12097	^Zainstaluj Edubuntu w trybie tekstowym	^Instalëjë Edubuntu w tekstowim ôrce
12098	Tala samoańskieName	Samoańskô TalaName
12099	KWrite - edytor tekstu	KWrite - Editora tekstu
12100	Zamiana znaków	Zmiana znaków
12101	Monarchy	Mònarchë
12102	& Nowy...	& Nowi...
12103	Następny znak w historii	Pòstspny céch w historëji
12104	Wydruk próbny dwubarwny	Próbny dwafarwny wëdrëk
12105	& Ruch	& Rësznota
12106	Czcionka & bezszeryfowa:	& Bezszerifòwi fònt
12107	Użycie tych opcji nie jest zalecane - ponieważ w pewnych sytuacjach mogą one powodować problemy z KDE - ślad nie został utworzony. Proszę wyłączyć te opcje i powtórnie doprowadzić do awarii programu, żeby utworzyć poprawny ślad.	Brëkòwanié tëch òptacëji nie je zalécané - mògą òne w gwësnëch leżnoscah doprowadzëc do jiwrów z KDE - szlach nie òstôł ùsôdzony. Proszã wëłączëc te optacëje ë znowa doprowadzëc do awarëji programë, bë ùsôdzëc pòprôwny szlach.
12108	Tylko bezpieczne serwery	Blós bezpieczné serwery
12109	Ustawienia akcji	Nastôwë dzejaniô
12110	Podaj nazwę serwera lub domeny dla tej polityki, np. www. kde. org lub. kde. org.	Pòdôj miono serwera abò domenë dlô ti pòliticzi, np. www. kde. org abò. kde. org.
12111	NieobecnyQShortcut	QShortcut
12112	Narzędzie ułatwień dostępu KDEName	Pòmòce przëstãpù KDEName
12113	Azja/ Krasnojarsk	Azëjô/ Krasnojarsk
12114	Last. fm: Dodaj do ulubionych	Last. fm: Lubòtné
12115	Okno do wprowadzania danych	Òkno do wpisaniô pòdôwków
12116	Twój faks do odpowiedzi	twój faks do òdpòwiesców
12117	Podziel@ info	Rozdzélë@ info
12118	Przeszukiwana ścieżka dla źródeł danych tego typu	Przeszëkiwónô stegna dlô dostónków negò ôrtu
12119	Separator zadania	Separatora robòtë
12120	Format tytułu zwykłej karty	Zwëkòwi fòrmat titla kôrtë
12121	"Na pewno usunąć zakładkę ""% 1""?"	"Jes gwës tegò, że chcesz rëmnąc załóżkã ""% 1""?"
12122	KoreańskiName	KòrejańscziName
12123	Ustawienia zaawansowane	Awansowóné nastôwë
12124	Konfiguracja zastosowanych znaczników. @ label	Kònfigurëje to jaczé znakòwniczi mają bëc ùżëté. @ label
12125	Następny	Pòstãpny
12126	Na pewno usunąć motyw ikon% 1? Usunięte zostaną wszystkie pliki instalowane przez ten motyw.	Jes të gwës, że chcesz rëmnąc témã ikònów% 1? To rëmnie lopczi zainstalowóné bez tã témã.
12127	Zgraj i koduj utwory audioComment	Zgriwô ë kòdujë sztëcczi aùdioComment
12128	Odstęp:	& Rozstãp:
12129	Różne symbole matematyczne B	Wszelejaczé matemticzné symbòle B
12130	Opcje zszywania	Òptacëje zszëwaniô
12131	Dzwonek w widocznej sesjiComment	Zwónk w widzawny sesëjiComment
12132	Bardzo dużyview-size	view-size
12133	Pokaż informacje o zajętości miejsca w pasku stanu@ info: status	Wëskrzëni pùrgôcza zwikszaniô w lëstwie stónu@ info: status
12134	Sprawdzanie w trakcie pisania włączone.	Włączoné sprôwdzanié òbczas pisaniô.
12135	Użyj dzwonka & systemowego	Brëkùjë & systemòwegò zwónka
12136	XDMCP: nie można utworzyć bufora XDMCP.	XDMCP: ni mòże ùsôdzëc bùfora XDMCP!
12137	Podświetlanie składni Pythona	Pòdskrzënianié dlô Pythona
12138	Lekki papier (20lb)	Letczi papiór (20lb)
12139	Zmiana% 1	Zmiana adresë URL
12140	Preferowane urządzenia wyjścia	Preferowóné ùrządzenié wińdzénia
12141	Pojemnik tylny (wydrukiem do góry)	Zabiérnik slédny (drëkã do góry)
12142	Licencja:% 1	Pùnktacëjô:% 1
12143	Zunifikuj wyjścia	Ùnifikòwóné wińdzenia
12144	Czas & przybliżania: Duration of zoom	& Dérowanié skalowaniô: Duration of zoom
12145	ArabskiName	ArabscziName
12146	Włącz działania schowka	Włączë dzejania tacnika
12147	Zamknij wszystko	Zamkni wszëtkò
12148	Liczba kolumn:	Wielëna kòlumnów:
12149	PIN cyfra 3 (dla zadania prywatnego)	PIN cyfra 3 (dlô priwatny robòtë)
12150	Czas procesora spędzony w jądrze:% 1 sekund	Czas CPU w procesach jądra:% 1 sek.
12151	Pokaż komunikat o końcu gry	Wëskrzëni wiadło ò kùńcu grë
12152	Drukowanie czcionek	Drëkôrz fòntów
12153	Nazwa musi zawierać przynajmniej jeden znak #. @ title	Miono mùszi zamëkac w se przënômni jeden cech #. @ title
12154	Czarne na jasno żółtym	Czôrné na widno żôłtim
12155	Nośniki wymienne	òdłączalne
12156	Pobieranie bazy danych Magnatune. com	Ladowanié bazë pòdôwków Magnatune
12157	XDMCP: nie można przetworzyć adresu	XMDCP: ni mòże przerobic adresë
12158	Pomocniczy lewy	Lewi- Aux
12159	Informacja o użytkowniku	Wëdowiédzô ò brëkòwnikù
12160	Usuń część pętli, by przerwać pętlę nieskończoną, a następnie ponów próbę.	Rëmôj dzél zakrãcenia, bë przerwac no nieskùńczoné dzejanié, a pòzdze znowi próbã.
12161	Typ urządzenia	Ôrt ùrządzenia
12162	Szybkoschnący błyszczący	Chùtkòschnący sklący
12163	Jeśli ta opcja jest włączona, jedna kopia Konquerora będzie zawsze wczytana do pamięci i gotowa do pracy. Dzięki temu okna Konquerora będą otwierać się szybciej. Uwaga: w niektórych wypadkach włączenie tej opcji może zmniejszyć wygodę pracy.	Jeżlë ta òptacëjô je włączonô, jedna kòpija Konquerora bãdze wiedno preladowónô do pamiãcë ë parôt do robòtë. Dzãka temù òkna Konquerora bãdą òtmekac sã chùtczi. Bôczënk: w niechtërnëch przëtrôfkach włączenié ti òptacëji mòże zmniészëc wigòdã robòtë.
12164	Nie można pisać do pliku% 1. Dyskietka w stacji% 2 jest prawdopodobnie zapełniona.	Nie mòże pisac do lopkù% 1. Disk w nëkù% 2 je gwësno fùl.
12165	Wolne węzły	Wòlné Nodes
12166	Rozmiar okienka	Miara dialogòwégò òkna
12167	Wymieszaj puzzle	Wëmiészôj elementë
12168	Jeśli będziesz chciał wkleić nowy adres w pasku adresu, możesz usunąć bieżący wpis przez naciśnięcie białego krzyżyka na pasku adresu.	Jeżlë bãdzesz chcôł wlëmic nową adresã do adresowi listwë, mòżesz rëmnąc biéżny wpisënk przez wcësniãce biôłegò krziżëka na adresowi listwie.
12169	Wprowadź dane logowania dla Last. fm	Wpiszr wëdowiédzë ò loginie do Last. fm
12170	Dostępne są następujące moduły:	Ne mòdule sã przistãpné:
12171	Pokaż ślad	Pòkôżë szlach
12172	Przywróć & zapisaną sesję	Przëwrócë & zapisóną sesëjã
12173	Nie wykorzystuj korekcji kolorów	Nie zwëskùjë kòrekcëji farwów
12174	Uaktualniaj teraz źródło	Zaktualni terô zdroje
12175	Przenoszenie	Przenoszenié@ title job
12176	300 dpi, kolor, bez marginesów, pojemnik z atramentem kolorowym	300 dpi, farwa, felënk zberków, zabiérnik z farwną tintą
12177	Ciemny pastelowy	Cémné pastele
12178	Dostosowuje wymiary obrazuimage-action	image-action
12179	Przesuń w dół	Przesënie w dół
12180	"Nie można zmienić ścieżki na następną w odtwarzaczu ""% 1."""	Grôcz aùdio '% 1' ni mòże zrëszëc dzejania 'pòstãpny'.
12181	Gra w układanie słówGenericName	Gra w ùkładanié słowówGenericName
12182	Plik% 1 zawiera czcionkę% 2, która jest już zainstalowana.	% 1 zamëkô w se fònt% 2, chtëren je ju winstalowóny w twòji systemie.
12183	Zapisz informacje i zamknij@ info	Zapiszë wëdowiédzã ë zamkni@ info
12184	% 1 nie jest obrazkiem. Proszę używać plików z następującymi rozszerzeniami:% 2	% 1 nie je òbrôzkã. Proszã brëkòwac lopków z zôstnëma dodôwkama:% 2
12185	Pokaż pełnoekranowy podgląd wybranego wygaszacza ekranu.	Wëskrzëni fùlekranowi pòdzérk wëbrónégò wëgaszôcza ekrana.
12186	Tłumacz klawiatury nie jest dostępny. Brak informacji niezbędnej do zamiany wciśniętego klawisza na znaki wysyłane na terminal.	Dolmaczënczi klawiaturë nié sa przëstãpné. Felëje wëdowiédzë ò tim jakno wcësniãté klawisze mają bëc zmianiané w lëterë bë ne pòzdze sélac do terminala.
12187	^Zainstaluj Ubuntu Server	^Instalacëjô serwera Ubuntu
12188	Hrywna ukraińskaName	Ùkrajińskô HrywnaName
12189	Przenieś do & kosza	& Przeniesë do kòsza
12190	Wg nazwy	Wedle miona
12191	Włączoneunderline	Włączonéunderline
12192	Przenieś do & góry	Przeniesë w & górã
12193	Szczegółowa dokumentacja Konquerora jest dostępna tutaj.	Akùratnô dokùmentacëjô Konquerora nachôdô sã tuwò.
12194	Tekst (jasny)	Farwa tekstu (intensywnota)
12195	"Dokument ""% 1"" został zmodyfikowany, ale nie zapisany. Czy chcesz zapisać zmiany, czy też je odrzucić?"	Dokùment '% 1' òstôł zmieniony, równak nié zapisóny. Chcesz zapisac zmianë, czë téż je pòcësnąc?
12196	X KalkulatorName	X KalkùlatorName
12197	WatykanName	WatikanName
12198	Afryka PołudniowaName	Pôłniowô AfrikaName
12199	Uruchom aplety Plazmy w osobnych oknach	Zrëszë widżetë Plasmë w jich òknach
12200	Wyczyść listę	Wëczëszczë lëstã
12201	DOSQShortcut	QShortcut
12202	Nasycenie	Nasëcenié
12203	Zgodne nazwy:	Kòmpatibilné miona:
12204	Za duży	Pònôd miarã
12205	Łatwe kończenie pracy programów wykorzystujących D- Bus	Prosto zamkni aplikacëjã z włączonym D- Busã
12206	Tworzy duplikat tego obrazuimage-action	image-action
12207	Brak informacji. Podany obiekt KAboutData nie istnieje.	Felëje wëdowiédzy. Nié dô òbiektu KAboutData.
12208	Zazwyczaj wygaszacz ekranu jest wyłączany, kiedy włączy się tryb oszczędzania energii monitora, bo i tak nic nie widać na ekranie. Z drugiej strony niektóre wygaszacze ekranu wykonują użyteczną pracę, a takich nie powinno się wyłączać.	Zwëczajno wëgaszôcz ekranu je wëłączony przë ùspionym ekranie dlôte, że ë tak nick nié mòże bëc òbôczoné Niejedné wëgaszôcze ekranu rechùją n. p. w tim czasu przëdatné rzeczë przez co je przëdatné òstawic je włączoné.
